Unnamed: 0,serviceCharge,heatingType,newlyConst,balcony,telekomUploadSpeed,totalRent,yearConstructed,scoutId,hasKitchen,cellar,baseRent,livingSpace,condition,petsAllowed,lift,typeOfFlat,noRooms,floorNo,numberOfFloors,garden,regio3,heatingCosts,ParkSpaces,fullAddress,price_category
4004,408.0,self_contained_central_heating,0,1,32.1,1836.0,1998.0,109865019,1,1,1428.0,136.0,well_kept,2,0,apartment,3.5,3.0,6.0,0,Frohnau_Reinickendorf,122.9,0,"Fürstendamm  ., 13465 Berlin, Germany",above_average
4005,360.0,district_heating,0,1,40.0,2020.3,2016.0,92249192,1,1,1590.0,60.0,first_time_use,2,1,apartment,2.0,3.0,7.0,0,Mitte_Mitte,70.3,1,"Krausenstr. 37, 10117 Berlin, Germany",above_average
4006,290.0,central_heating,0,1,40.0,922.0,1996.0,113751739,1,1,632.0,79.0,well_kept,2,1,apartment,3.0,3.0,3.0,0,Rosenthal_Pankow,160.0,0,"Kastanienallee 19 b, 13158 Berlin, Germany",below_average
4007,72.0,district_heating,0,0,10.0,900.0,1969.0,106458574,1,1,795.0,42.6,well_kept,2,1,apartment,1.0,8.0,10.0,0,Mitte_Mitte,33.0,0,"Holzmarktstraße 61, 10179 Berlin, Germany",below_average
4008,190.0,district_heating,1,1,32.1,1300.0,2019.0,111150934,1,1,1110.0,57.0,first_time_use,2,1,apartment,2.0,2.0,5.0,0,Tiergarten_Tiergarten,70.3,0,"Derfflingerstr. 22b, 10785 Berlin, Germany",above_average
4009,190.0,central_heating,0,1,40.0,885.0,1900.0,112948361,1,1,695.0,69.0,refurbished,2,0,apartment,2.0,2.0,4.0,0,Adlershof_Treptow,70.3,0,"Hoffmannstraße 7, 12489 Berlin, Germany",below_average
4010,334.0,central_heating,0,0,40.0,1533.0,1930.0,113493818,0,0,1199.0,108.98,first_time_use,3,0,apartment,5.0,2.0,0.0,0,Friedrichsfelde_Lichtenberg,175.6,0,"Ribbecker Straße 42, 10315 Berlin, Germany",above_average
4011,215.0,central_heating,0,0,40.0,2119.0,1919.0,113144431,1,1,1785.0,119.47,first_time_use_after_refurbishment,3,0,apartment,4.0,3.0,5.0,0,Tiergarten_Tiergarten,119.0,0,"Huttenstraße 72, 10553 Berlin, Germany",above_average
4012,148.48,oil_heating,0,1,10.0,533.17,1962.0,111417528,0,0,384.69,46.07,fully_renovated,2,0,apartment,1.5,3.0,4.0,0,Reinickendorf_Reinickendorf,50.2,0,"General-Barby-Str. 55, 13403 Berlin, Germany",below_average
4013,193.0,self_contained_central_heating,0,1,40.0,1643.13,1906.0,108093073,1,1,1469.9,131.83,refurbished,3,0,apartment,4.0,1.0,3.0,0,Steglitz_Steglitz,140.5,0,"Schloßstr. 128, 12163 Berlin, Germany",above_average
4014,230.0,central_heating,0,1,10.0,770.0,1971.0,98944162,0,0,540.0,62.0,fully_renovated,1,1,apartment,2.0,2.0,3.0,0,Lichterfelde_Steglitz,70.3,0,"Unter den Eichen 97, 12203 Berlin, Germany",below_average
